Time,Residential_Heating,Residential_Cooling,Residential_DHW,Office_Heating,Office_Cooling,Office_DHW,community_center_Heating,community_center_Cooling,community_center_DHW,Retail_Heating,Retail_Cooling,Retail_DHW,Grocery_Heating,Grocery_Cooling,Grocery_DHW,Hotel_Heating,Hotel_Cooling,Hotel_DHW
 08/25  13:00:00,0,0.00233432,0.001030528,1.31E-05,0.004196484,0.002902786,0.003259594,0.007769717,0.000273165,0,0.000647565,0.000375391,5.15E-05,0.024408981,0,0,0.003773286,0.00207422
 08/25  14:00:00,0,0.002712783,0.000996775,1.09E-05,0.004813871,0.002517461,0.003334132,0.0090825,0.000273165,0,0.000749489,0.000122833,4.68E-05,0.033294735,0,0,0.004145917,0.001933225
 08/25  15:00:00,0,0.002948439,0.001112998,9.56E-06,0.004595557,0.001836721,0.003379942,0.010448714,0.000413886,0,0.000801781,0.000251731,1.53E-05,0.035621773,0,0,0.004247248,0.00189507
 08/25  16:00:00,0,0.00304815,0.001265883,8.56E-06,0.005163629,0.001836721,0.002937397,0.011262913,0.000993328,0,0.000758193,0.000266813,2.98E-05,0.04374455,0,3.67E-06,0.00367726,0.000216448
 08/25  17:00:00,0,0.003032979,0.001615909,9.69E-06,0.00518856,0.001682589,0.002503972,0.010133777,0.002069427,0,0.000738665,0.000106814,0.000233956,0.048494884,0,0,0.003241894,0.000218658
 08/25  18:00:00,0,0.002687166,0.001744938,1.65E-05,0.004491425,0.001913782,0.002062541,0.008851867,0.002483317,0,0.000649847,0.000266946,0.000973328,0.035238798,0,0,0.003906562,0.000441218
 08/25  19:00:00,0,0.001978802,0.001891236,2.31E-05,0.004581262,0.001322949,0.001667513,0.004564884,0.002152204,0,0.000518067,0.000106711,0.000258502,0.013151973,0,0,0.003577805,0.000655063
 08/25  20:00:00,0,0.0014962,0.00159631,4.17E-06,7.75E-05,0.001322949,0.000722907,0.00051933,0.001655543,0,0.000228804,0.000265998,0,0.004444179,0,0,0.003547174,0.000613434
 08/25  21:00:00,0,0.000970168,0.001445622,0,0.000117697,0.001322949,0.001106756,8.34E-05,0.000496663,0,2.68E-05,0.000105874,0,0.002836301,0,4.84E-07,0.003039042,0.000589136
 08/25  22:00:00,0,0.000403594,0.001129492,0,0.000261529,0.001297263,0.000977327,7.27E-05,0,0,0,0,0,0.002841197,0,1.28E-05,0.005620662,0.000804363
